"category","result.status","protectionPolicy.name","result.error.code","host.name","asset.name","inventorySource.type","result.error.reason","result.error.extendedReason","result.error.detailedDescription","result.error.remediation"
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABF0001","win-11.demo.local","DISASTER_RECOVERY:\","","Unable to protect the asset DISASTER_RECOVERY:\ on the host win-11.demo.local from the backup performed at time 1732014785 because the following error occurred: DD write failure result code: 5175, description: Out of space.","","The backup for this asset cannot be completed because an error occurred.","Click export log, check the export logs from PowerProtect Data Manager and review the log file for more details. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-0aa9eb47f2","","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-0aa9eb47f2 could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-0aa9eb47f2.   ..    ..  Error Details:  ..   TaskId: d9b77e20-94d5-482a-8856-a5250edd9ab0, JobId d9b77e20-94d5-482a-8856-a5250edd9ab0   ..   NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-0aa9eb47f2' could not be validated in PowerScale/Isilon NAS '192.168.1.108'..   ..  ","The existence of the target asset cannot be validated.","Connect to the PowerScale/Isilon NAS and verify that the share exists.   ..  From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-33b51b73dd","","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-33b51b73dd could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-33b51b73dd.   ..    ..  Error Details:  ..   TaskId: a3732705-add3-4d3e-b8b7-4714b2ace382, JobId a3732705-add3-4d3e-b8b7-4714b2ace382   ..   NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-33b51b73dd' could not be validated in PowerScale/Isilon NAS '192.168.1.108'..   ..  ","The existence of the target asset cannot be validated.","Connect to the PowerScale/Isilon NAS and verify that the share exists.   ..  From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-418144021c","","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-418144021c could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-418144021c.   ..    ..  Error Details:  ..   TaskId: 3a4f8775-e82a-42cb-89dc-d01c9471d599, JobId 3a4f8775-e82a-42cb-89dc-d01c9471d599   ..   NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-418144021c' could not be validated in PowerScale/Isilon NAS '192.168.1.108'..   ..  ","The existence of the target asset cannot be validated.","Connect to the PowerScale/Isilon NAS and verify that the share exists.   ..  From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-d8196857f7","","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-d8196857f7 could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-d8196857f7.   ..    ..  Error Details:  ..   TaskId: 9b79a849-1540-4eb7-8c4c-ea02551c9f96, JobId 9b79a849-1540-4eb7-8c4c-ea02551c9f96   ..   NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-d8196857f7' could not be validated in PowerScale/Isilon NAS '192.168.1.108'..   ..  ","The existence of the target asset cannot be validated.","Connect to the PowerScale/Isilon NAS and verify that the share exists.   ..  From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","","","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-d8196857f7 could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-d8196857f7.   ..    ..  Error Details:  ..   TaskId: 9b79a849-1540-4eb7-8c4c-ea02551c9f96, JobId 9b79a849-1540-4eb7-8c4c-ea02551c9f96   ..   NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-d8196857f7' could not be validated in PowerScale/Isilon NAS '192.168.1.108'..   ..  ","The existence of the target asset cannot be validated.","Connect to the PowerScale/Isilon NAS and verify that the share exists.   ..  From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0009","esxi01-7.demo.local","PPDM-01","","VM Direct engine 'localhost' is unable to back up the virtual machine 'PPDM-01' on vCenter 'VCenter' because of a protection storage issue.","Backup has FAILED.  Unable to backup virtual disk ""Hard disk 1"".  Write data.  Unsuccessful writing at offset 32981909504 of data file:  [5175] Out of space","The VM Direct engine cannot complete the backup of this virtual machine because the protection storage operation was unsuccessful.","To resolve this issue: 1) Verify that the PowerProtect DD is functional and that the DD Boost ports are open. 2) Check the network connection between the VM Direct engine 'localhost' and the PowerProtect DD."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0009","","PPDM-01","VCENTER","VM Direct engine 'localhost' is unable to back up the virtual machine 'PPDM-01' on vCenter 'VCenter' because of a protection storage issue.","Backup has FAILED.  Unable to backup virtual disk ""Hard disk 1"".  Write data.  Unsuccessful writing at offset 32981909504 of data file:  [5175] Out of space","The VM Direct engine cannot complete the backup of this virtual machine because the protection storage operation was unsuccessful.","To resolve this issue: 1) Verify that the PowerProtect DD is functional and that the DD Boost ports are open. 2) Check the network connection between the VM Direct engine 'localhost' and the PowerProtect DD."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","esxi03-7.demo.local","Exchange","","VM Direct engine 'localhost' is unable to back up the virtual machine 'Exchange' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 32 attempts over 19m18.128544723s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","esxi03-7.demo.local","RSA_Authentication_Manager.x86_64-8.7.0","","VM Direct engine 'localhost' is unable to back up the virtual machine 'RSA_Authentication_Manager.x86_64-8.7.0' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 31 attempts over 13m47.994759491s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","esxi03-7.demo.local","sqlaag-01","","VM Direct engine 'localhost' is unable to back up the virtual machine 'sqlaag-01' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 31 attempts over 19m0.082731091s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","esxi03-7.demo.local","sqlaag-02","","VM Direct engine 'localhost' is unable to back up the virtual machine 'sqlaag-02' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 31 attempts over 13m49.156974703s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","","Exchange","VCENTER","VM Direct engine 'localhost' is unable to back up the virtual machine 'Exchange' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 32 attempts over 19m18.128544723s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","","RSA_Authentication_Manager.x86_64-8.7.0","VCENTER","VM Direct engine 'localhost' is unable to back up the virtual machine 'RSA_Authentication_Manager.x86_64-8.7.0' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 31 attempts over 13m47.994759491s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","","sqlaag-01","VCENTER","VM Direct engine 'localhost' is unable to back up the virtual machine 'sqlaag-01' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 31 attempts over 19m0.082731091s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0016","","sqlaag-02","VCENTER","VM Direct engine 'localhost' is unable to back up the virtual machine 'sqlaag-02' on vCenter 'VCenter' because of a vCenter API issue.","Unable to successfully complete SDM Full Sync operation.  Unsuccessful after 31 attempts over 13m49.156974703s.  The vCenter task for 'SDM Snapshot Sync Full' completed with state 'error'.  TSDM Error Code: <FileWriteError>, TSDM Error Message: <Protected entity file write error. Error message: No space left on device>.","The VM Direct engine cannot complete the backup of this virtual machine because a vCenter API operation did not complete successfully.","To troubleshoot this issue: 1) Verify that the vCenter can be reached. 2) If the vCenter is busy, wait for some activities to complete and then retry the operation. 3) Verify that the virtual machine exists on the vCenter."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-10","VCENTER","VM Direct engine is unable to configure protection for the virtual machine 'win-10' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-11","VCENTER","VM Direct engine is unable to configure protection for the virtual machine 'win-11' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","k8-master01","","The VM Direct engine 'localhost' is unable to back up the virtual machine 'k8-master01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501f25a4-72e6-34bf-fd80-0efdac900bd2/1732015606054087901' on 'ddve-01.demo.local':  [5005] No space left on device","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","k8-node01","","The VM Direct engine 'localhost' is unable to back up the virtual machine 'k8-node01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501ff233-101a-7719-e1a6-5f0964cdd7e8/1732015636557901776' on 'ddve-01.demo.local':  [5005] No space left on device","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","linux-03","","The VM Direct engine 'localhost' is unable to back up the virtual machine 'linux-03' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501efedb-2483-f721-7018-f38280375d3a/1732015575784513783' on 'ddve-01.demo.local':  [5005] No space left on device","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","Isilon","","The VM Direct engine 'localhost' is unable to back up the virtual machine 'Isilon' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/50139ae6-8079-5090-cda7-5591eb2a2032/1732016250165908743' on 'ddve-01.demo.local':  [5005] No space left on device","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","VMware vCenter Server","","The VM Direct engine 'localhost' is unable to back up the virtual machine 'VMware vCenter Server' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/52798cf3-8550-686b-9b30-3ad738e468a6/1732016224436166469' on 'ddve-01.demo.local':  [5005] No space left on device","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","Isilon","VCENTER","This task is unsuccessful because internal issue happens at service side.","","This task is unsuccessful because internal issue happens at service side.","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","VMware vCenter Server","VCENTER","This task is unsuccessful because internal issue happens at service side.","","This task is unsuccessful because internal issue happens at service side.","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","k8-master01","VCENTER","This task is unsuccessful because internal issue happens at service side.","","This task is unsuccessful because internal issue happens at service side.","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","k8-node01","VCENTER","This task is unsuccessful because internal issue happens at service side.","","This task is unsuccessful because internal issue happens at service side.","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","linux-03","VCENTER","This task is unsuccessful because internal issue happens at service side.","","This task is unsuccessful because internal issue happens at service side.","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","SKIPPED","NAS Backups - TEST PLC","AERR0004","","","","Task Performing data rollover for the slices created was skipped because the protection task was unsuccessful.","","This task cannot be completed when dependent protection tasks do not complete successfully.","Review the details for the protection task in the Jobs window to troubleshoot the issue. When the issue is resolved, retry the protection job task. If the issue persists, contact Dell Customer Support."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Mailbox Database 0597205983","","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Mailbox Database 0597205983 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_001","","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_001 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_002","","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_002 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_003","","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_003 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_004","","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_004 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
